label,pattern,replace,growth
morphology,asteraceae capitula,,
morphology,corymb,raceme-like,indeterminate
morphology,corymbs,raceme-like,indeterminate
morphology,corymbiform,,indeterminate
morphology,corymbrose,,indeterminate
morphology,cyme,cyme,determinate
morphology,cymes,cyme,determinate
morphology,cymose,,determinate
morphology,monopodial,,indeterminate
morphology,panicle,panicle,indeterminate
morphology,panicles,panicle,indeterminate
morphology,paniculate,panicle,indeterminate
morphology,paniculiform,panicle,indeterminate
morphology,raceme,raceme-like,indeterminate
morphology,racemes,raceme-like,indeterminate
morphology,raceme-like,raceme-like,indeterminate
morphology,racemiform,raceme-like,indeterminate
morphology,racemose,raceme-like,indeterminate
morphology,spadix,raceme-like,
morphology,spike,raceme-like,
morphology,spikes,raceme-like,
morphology,sympodial,,determinate
morphology,umbel,umbel,
morphology,umbels,umbel,
