label,pattern,replace
aperture,aperture,
aperture_distribution,distal,
aperture_distribution,equatorially distributed,
aperture_distribution,globally distributed,
aperture_distribution,pantoaperturate,
aperture_distribution,polar,
aperture_distribution,spiral,
aperture_distribution,sulcate,
aperture_distribution,ulcerate,
aperture_membrane_texture,ornamented,
aperture_membrane_texture,psilate,
aperture_number,diaperturate,
aperture_number,hexaperturate,
aperture_number,inaperturate,
aperture_number,monoaperturate,
aperture_number,pentaperturate,
aperture_number,polyaperturate,
aperture_number,tetraperturate,
aperture_number,triaperturate,
aperture_shape,colpate,
aperture_shape,colporate,
aperture_shape,colporate,
aperture_shape,colpus,
aperture_shape,elongate,
aperture_shape,furrow,
aperture_shape,porate,
aperture_shape,pore,
aperture_shape,pore-like,
aperture_shape,ring-like,
aperture_shape,spiral,
aperture_shape,sulcate,
aperture_shape,sulcus,
aperture_shape,ulcerate,
aperture_shape,ulcus,
bodies,bodies,
bodies,body,
bridge,bridge,
cell,cell,
cell_number,2-celled,
cell_number,3-celled,
coatings,coating,
coatings,coatings,
continuity,continuity,
cytoplasm,cytoplasm,
cytoplasm_reserves,lipids,
cytoplasm_reserves,polysaccharide vesicles,
cytoplasm_reserves,starch,
demicolpus,demicolpus,
differentiated,differentiated,
distribution,distribution,
dry_pollen,dry pollen,
dry_pollen_outline,boat-shaped,
dry_pollen_outline,circular,
dry_pollen_outline,elliptic,
dry_pollen_outline,irregular,
dry_pollen_outline,lobate,
dry_pollen_outline,polygonal,
dry_pollen_outline,quadrangular,
dry_pollen_outline,triangular,
elongate,elongate,
endexine,endexine,
endexine_continuity,continuous,
endexine_continuity,discontinuous,
endexine_distribution,apertures only,
endexine_distribution,regular,
endexine_presence,nexine absent,0
endexine_texture,compact,
endexine_texture,lamellar,
endexine_texture,spongy,
equatorial_aperture_position,angulaperturate,
equatorial_aperture_position,planaperturate,
exine,exine,
exine_differentiated_presence,annulus,1
exine_differentiated_presence,labrum,1
exine_differentiated_presence,margo,1
foot_layer,foot layer,
foot_layer_continuity,continuous,
foot_layer_continuity,discontinuous,
foot_layer_continuity,perforate,
foot_layer_presence,nexine absent,0
geniculum,geniculum,
infratectum,infratectum,
infratectum_morphology,alveolate,
infratectum_morphology,columellate,
infratectum_morphology,granular,
intine,intine,
intine_layers,bilayered,
intine_layers,monolayered,
lophate,lophate,
lophate_ornamentation_presence,lophate,1
number,number,
oncus,oncus,
operculum,operculum,
operculum_presence,operculum,1
operculum_presence,pontoperculum,1
ornamentation,ornamentation,
p_e_ratio,isodiametric,
p_e_ratio,oblate,
p_e_ratio,prolate,
polar_view,polar view,
polar_view_outline,circular,
polar_view_outline,elliptic,
polar_view_outline,irregular,
polar_view_outline,lobate,
polar_view_outline,polygonal,
polar_view_outline,quadrangular,
polar_view_outline,triangular,
polarity,heteropolar,
polarity,isopolar,
polinium_division,massula,
polinium_division,regular pollinia,
polinium_division,sectile pollinia,
pollen,pollen unit,
pollen,pollen,
pollen_coating_presence,pollen coating vesicles,1
pollen_coating_presence,pollenkitt,1
pollen_coating_presence,primexine matrix,1
pollen_coating_presence,tryphine,1
pollen_unit,dyad,
pollen_unit,massula,
pollen_unit,monad,
pollen_unit,pollinium,
pollen_unit,polyad,
pollen_unit,pseudomonad,
pollen_unit,tetrad,
pororate,pororate,
protrusion_morphology,acuminate,
protrusion_morphology,baculate,
protrusion_morphology,ball-shaped,
protrusion_morphology,clavate,
protrusion_morphology,club-shaped,
protrusion_morphology,cylindrical,
protrusion_morphology,echinate,
protrusion_morphology,gemmate,
protrusion_morphology,verrucate,
protrusion_morphology,wart-shaped,
protrusion_morphology,wart-shaped,
protrusion_presence,baculate,1
protrusion_presence,clavate,1
protrusion_presence,echinate,1
protrusion_presence,gemmate,1
protrusion_presence,psilate,0
protrusion_presence,scabrate,0
protrusions,protrusion,
protrusions,protrusions,
pseudoaperture,pseudoaperture,
pseudoaperture_presence,polychotomoosulcus,0
pseudoaperture_presence,pseudopore,0
reserves,reserves,
ring_like,ring-like,
ring_like_aperture_presence,anazonasulculate,1
ring_like_aperture_presence,catazonasulculate,1
ring_like_aperture_presence,zonasulculus,1
shape,shape,
size,size,
sulcus,sulcus,
sulcus_branched,polychotomoosulcus,
sulcus_branched,trichotomosulcus,
sulcus_branched,unbranched,
surface_texture,foveolate,
surface_texture,gemmate,
surface_texture,granulate,
surface_texture,microechinate,
surface_texture,microgemmate,
surface_texture,perforate,
surface_texture,psilate,
surface_texture,reticulate,
surface_texture,scabrate,
surface_texture,smooth,
surface_texture,striate,
tectum,tectum,
tectum_morphology,continuous,
tectum_morphology,discontinuous,
tectum_morphology,eutectate,
tectum_morphology,perforate,
tectum_morphology,pertectate,
tectum_morphology,semitectate,
tectum_presence,atectate,0
tectum_presence,tectate,1
tetrad_arrangement,linear,
tetrad_arrangement,pseudomonad,
tetrad_arrangement,t-shaped,
tetrad_arrangement,tetrad decussate,
tetrad_arrangement,tetrad planar,
tetrad_arrangement,tetrad tetrahedral,
tetrad_arrangement,tetragonal,
texture,texture,
ubisch,ubisch,
