label,pattern,replace
floral_nectary_term,floral nectaries,
floral_nectary_term,floral nectary,
nectar_secretion_term,nectar secreted,
nectar_secretion_term,nectar secretion,
nectar_secretion_term,nectar secretions,
nectary_position_term,base of stamen,
nectary_position_term,base of stamens,
nectary_structure_term,androecium,
nectary_structure_term,gynoecium,
nectary_structure_term,perianth,
plant_sexual_system_term,androdioecious,1
plant_sexual_system_term,androdioecy,1
plant_sexual_system_term,andromonoecious,1
plant_sexual_system_term,dioecious,1
plant_sexual_system_term,dioecy,1
plant_sexual_system_term,gynodioecious,1
plant_sexual_system_term,gynodioecy,1
plant_sexual_system_term,monecious,0
plant_sexual_system_term,monoecious,0
plant_sexual_system_term,monoecy,0
plant_sexual_system_term,polygamomonoecious,0
plant_sexual_system_term,polygamomonoecy,0
presence_term,absent,0
presence_term,present,1
structural_sex_of_flowers_term,unisexual flowers absent,0
structural_sex_of_flowers_term,unisexual flowers present,1
